INDUS 2029±10 10 1 1 +26 2045±17 17 1 4 +32 2064±19 18 6 1 +48
TARIM 2030±8 6 2 5 +43 2051±13 11 6 5 +53 2058±15 14 4 5 +67
BRAHMAPUTRA 2030±18 7 14 9 +15 2049±18 16 9 2 +16 2049±30 19 17 16 +22
ARAL-SEA 2030±5 5 2 1 +37 2051±14 14 3 0 +42 2044±15 15 5 0 +53
COPPER 2033±28 24 0 15 +40 2055±19 19 0 0 +51 2087±7 7 0 0 +88
GANGES 2028±19 19 0 5 +15 2044±21 21 3 0 +19 2053±32 28 12 10 +25
YUKON 2033±25 25 0 0 +47 2054±19 19 0 0 +56 2094±11 11 0 0 +112
ALSEK 2033±21 21 0 0 +36 2055±22 22 0 0 +44 2087±10 10 0 0 +71
SUSITNA 2033±19 19 6 0 +36 2079±18 18 0 0 +46 2094±9 9 0 2 +85
BALKHASH 2030±7 7 2 2 +37 2051±12 11 0 5 +42 2049±20 18 1 10 +53
STIKINE 2025±17 16 7 0 +20 2026±15 14 6 2 +18 2048±22 18 14 0 +21
SANTA-CRUZ 2050±18 18 1 0 +14 2091±24 20 14 0 +21 2096±9 8 3 3 +48
FRASER 2017±3 3 0 0 +12 2016±14 11 10 0 +11 2010±13 11 7 5 +11
BAKER 2015±18 8 15 6 +5 2016±13 8 9 7 +5 2020±16 15 4 5 +5
YANGTZE 2028±15 6 8 12 +20 2028±13 12 1 5 +21 2044±19 19 2 2 +28
SALWEEN 2028±11 6 7 7 +20 2049±19 18 1 7 +20 2043±19 19 6 0 +26
COLUMBIA 2010±10 7 8 0 +7 2010±14 8 12 0 +6 2010±6 6 0 0 +7
ISSYK-KUL 2028±9 9 3 0 +35 2025±10 10 0 0 +35 2042±17 17 3 0 +44
AMAZON 2010±3 2 2 2 +34 2011±7 4 3 6 +35 2012±24 3 1 24 +35
COLORADO 2010±13 4 9 9 +17 2011±10 9 1 5 +17 2011±15 13 4 7 +17
TAKU 2027±5 4 3 0 +25 2055±12 12 0 0 +25 2077±13 13 3 0 +40
MACKENZIE 2011±18 7 9 15 +7 2013±10 8 6 0 +8 2011±8 8 1 0 +8
NASS 2025±19 19 0 0 +22 2055±16 16 1 0 +22 2069±13 10 8 4 +32
THJORSA 2046±21 20 9 0 +50 2042±20 20 0 0 +62 2071±21 18 6 11 +78
JOEKULSA-A-F. 2047±21 19 0 11 +64 2064±22 22 0 0 +79 2080±20 14 12 8 +124
KUSKOKWIM 2030±21 21 0 0 +37 2047±20 20 0 0 +39 2057±11 9 6 2 +48
RHONE 2006±14 9 11 0 +28 2006±7 7 2 0 +27 2006±24 18 16 0 +28
SKEENA 2009±6 6 0 0 +9 2010±7 7 0 0 +9 2010±6 6 1 0 +9
OB 2004±10 10 0 0 +14 2004±14 12 4 7 +12 2006±27 27 1 2 +16
OELFUSA 2045±23 18 12 8 +32 2042±20 20 6 2 +38 2048±25 19 11 12 +45
MEKONG 2029±17 6 13 10 +25 2049±20 20 0 0 +26 2043±23 23 6 0 +33
DANUBE 2006±7 4 6 0 +24 2006±4 4 1 0 +23 2006±2 1 2 1 +23
NELSON 2013±11 8 8 0 +7 2014±17 10 13 5 +6 2010±10 9 6 0 +7
PO 2006±7 5 6 0 +26 2006±3 3 0 0 +25 2006±6 2 6 0 +26
KAMCHATKA 2025±6 6 0 0 +26 2038±17 13 12 0 +24 2030±18 18 1 5 +32
RHINE 2006±18 17 7 3 +21 2006±15 15 2 2 +20 2005±21 17 13 0 +20
GLOMA 2010±9 5 8 0 +26 2026±16 10 10 9 +23 2016±18 17 6 0 +26
HUANG-HE 2029±6 5 4 2 +36 2051±17 17 1 1 +40 2043±20 20 1 0 +48
INDIGIRKA 2004±8 8 1 0 +15 2004±12 11 6 3 +12 2006±15 15 1 1 +16
LULE 2022±22 22 4 0 +29 2027±12 11 5 4 +30 2029±26 25 10 0 +29
RAPEL 2010±13 4 6 11 +12 2011±11 10 4 4 +12 2010±16 10 9 9 +12
SANTA 2011±21 5 21 3 +50 2012±25 7 18 17 +53 2016±29 29 1 2 +53
SKAGIT 2008±6 6 2 0 +12 2008±13 12 5 0 +11 2007±7 7 0 0 +11
KUBAN 2002±7 7 0 0 +16 2003±6 4 4 4 +17 2013±8 8 2 0 +17
TITICACA 2011±5 4 2 3 +42 2012±9 4 1 8 +43 2012±7 4 0 6 +43
NUSHAGAK 2027±14 14 1 0 +34 2038±12 12 2 0 +31 2032±15 15 3 0 +34
BIOBIO 2002±3 3 2 1 +9 2002±4 3 3 1 +8 2003±6 3 5 2 +9
IRRAWADDY 2000±17 17 0 0 +7 2000±35 35 0 0 +8 2095±45 45 0 0 +10
NEGRO 2002±12 11 4 4 +5 2002±11 10 3 5 +4 2003±11 11 4 2 +5
MAJES 2026±7 4 3 6 +79 2038±5 4 1 3 +97 2046±21 21 3 4 +119
CLUTHA 2038±17 17 0 0 +22 2028±12 12 0 0 +21 2040±21 21 0 0 +26
DAULE/VINCES 1980±0 0 0 0 +14 1980±0 0 0 0 +15 1980±0 0 0 0 +15
KALIXAELVEN 2019±10 6 4 8 +25 2024±23 9 14 16 +23 2014±27 25 11 6 +26
MAGDALENA 1981±6 0 0 6 +22 1981±14 0 0 14 +22 1981±14 0 0 14 +22
DRAMSELV 2010±8 4 8 0 +20 2012±14 10 10 0 +17 2013±16 16 1 1 +19
COLVILLE 2026±13 13 0 0 +40 2026±20 18 10 0 +42 2040±27 16 21 8 +42
